eventtime,filename,filepath,ml_confidence,hybrid_confidence,confidence_boost,ml_classification,hybrid_classification,rule_applied,cross_artifact_validation_score,has_logfile_evidence,zero_in_nanoseconds
2023-01-05 22:09:00,IDX_CONTENT_TASKBARHEADLINES.json.~tmp,\Users\blueangel\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ShellFeeds\IDX_CONTENT_TASKBARHEADLINES.json.~tmp,0.0898,0.9,0.8102,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2023-01-05 22:08:00,BIT20A6.tmp,\Users\blueangel\AppData\Local\Temp\BIT20A6.tmp,0.0997,0.9,0.8003,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,True
2023-01-04 21:53:00,IDX_CONTENT_TASKBARHEADLINES.json.~tmp,\Users\blueangel\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ShellFeeds\IDX_CONTENT_TASKBARHEADLINES.json.~tmp,0.0998,0.9,0.8002,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2023-01-05 22:09:00,BIT6CF6.tmp,\Users\blueangel\AppData\Local\Temp\BIT6CF6.tmp,0.1097,0.9,0.7903,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,True
2023-01-05 22:08:00,BIT2086.tmp,\Users\blueangel\AppData\Local\Temp\BIT2086.tmp,0.1097,0.9,0.7903,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,True
2023-01-05 22:09:00,d2fddd95-9cfb-414f-af5a-e4a71a0634e9.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\d2fddd95-9cfb-414f-af5a-e4a71a0634e9.tmp,0.1198,0.9,0.7802,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2023-01-05 22:09:00,a487d139-e741-413d-bdc4-98e8f2193927.tmp,\Users\blueangel\AppData\Roaming\Microsoft\Teams\Partitions\msa\a487d139-e741-413d-bdc4-98e8f2193927.tmp,0.1198,0.9,0.7802,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2023-01-05 22:09:00,78dea7ca-5f88-4c70-9b69-23cad71836e1.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\78dea7ca-5f88-4c70-9b69-23cad71836e1.tmp,0.1198,0.9,0.7802,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2023-01-05 22:09:00,13659d71-3731-4098-ba2b-78f612782244.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\13659d71-3731-4098-ba2b-78f612782244.tmp,0.1198,0.9,0.7802,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2023-01-05 22:09:00,7ab9d739d8f1f711.temp.ini,\Users\blueangel\AppData\Local\Microsoft\OneDrive\settings\Personal\7ab9d739d8f1f711.temp.ini,0.1298,0.9,0.7702,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2023-01-05 22:09:00,7ab9d739d8f1f711.temp.ini,\Users\blueangel\AppData\Local\Microsoft\OneDrive\settings\Personal\7ab9d739d8f1f711.temp.ini,0.1298,0.9,0.7702,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2023-01-05 22:08:00,7ab9d739d8f1f711.temp.ini,\Users\blueangel\AppData\Local\Microsoft\OneDrive\settings\Personal\7ab9d739d8f1f711.temp.ini,0.1398,0.9,0.7602,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2023-01-04 21:53:00,9ec53dc5-d202-46c4-9fae-c3603cadb67a.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\9ec53dc5-d202-46c4-9fae-c3603cadb67a.tmp,0.1597,0.9,0.7403,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
2023-01-04 21:53:00,74672ba5-6852-4bab-b6e6-ad78a40351eb.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\74672ba5-6852-4bab-b6e6-ad78a40351eb.tmp,0.1597,0.9,0.7403,Benign,Timestomped,Rule 1: Cross-artifact validation (LogFile + UsnJrnl),3,True,False
